Dolar_ccl;fecha;
3.94;20/9/2010;
3.91;21/9/2010;
3.92;22/9/2010;
3.93;30/9/2010;
3.95;6/10/2010;
3.9;19/10/2010;
3.9;21/10/2010;
3.95;26/10/2010;
3.92;2/11/2010;
3.97;4/11/2010;
3.9;9/11/2010;
3.86;10/11/2010;
3.98;11/11/2010;
3.98;12/11/2010;
3.97;15/11/2010;
3.97;16/11/2010;
4.02;10/12/2010;
4.01;21/12/2010;
3.98;23/12/2010;
3.97;4/1/2011;
4.02;17/1/2011;
4.01;18/1/2011;
4.02;20/1/2011;
4.04;21/1/2011;
4.05;26/1/2011;
4.04;27/1/2011;
4.12;28/1/2011;
4.09;31/1/2011;
4.13;2/2/2011;
4.11;7/2/2011;
4.12;8/2/2011;
4.13;14/2/2011;
4.13;16/2/2011;
4.16;22/2/2011;
4.19;23/2/2011;
#�VALOR!;24/2/2011;
4.24;25/2/2011;
4.21;28/2/2011;
4.19;3/3/2011;
4.2;9/3/2011;
4.22;10/3/2011;
4.22;11/3/2011;
4.22;14/3/2011;
4.22;15/3/2011;
4.24;16/3/2011;
4.21;17/3/2011;
4.21;18/3/2011;
4.21;22/3/2011;
4.21;23/3/2011;
4.19;28/3/2011;
4.13;4/4/2011;
4.15;7/4/2011;
4.21;8/4/2011;
4.21;12/4/2011;
4.19;13/4/2011;
4.22;14/4/2011;
4.23;15/4/2011;
4.24;20/4/2011;
4.23;25/4/2011;
4.24;29/4/2011;
4.26;3/5/2011;
4.27;9/5/2011;
4.35;10/5/2011;
4.36;19/5/2011;
4.42;24/5/2011;
4.46;26/5/2011;
4.34;3/6/2011;
4.33;6/6/2011;
4.32;7/6/2011;
4.35;8/6/2011;
4.31;10/6/2011;
4.32;22/6/2011;
4.24;28/6/2011;
4.23;30/6/2011;
4.21;1/7/2011;
4.2;4/7/2011;
4.23;5/7/2011;
4.24;12/7/2011;
4.24;13/7/2011;
4.23;14/7/2011;
4.23;15/7/2011;
4.24;18/7/2011;
4.23;19/7/2011;
4.24;20/7/2011;
4.25;21/7/2011;
4.22;22/7/2011;
4.19;26/7/2011;
4.27;1/8/2011;
4.26;2/8/2011;
4.27;3/8/2011;
4.3;4/8/2011;
4.38;5/8/2011;
4.27;8/8/2011;
4.32;9/8/2011;
4.33;10/8/2011;
4.34;11/8/2011;
4.33;12/8/2011;
4.32;15/8/2011;
4.35;16/8/2011;
4.36;17/8/2011;
4.34;18/8/2011;
4.4;23/8/2011;
4.41;24/8/2011;
4.37;26/8/2011;
4.42;29/8/2011;
4.43;30/8/2011;
4.43;31/8/2011;
4.39;1/9/2011;
4.48;7/9/2011;
4.49;9/9/2011;
4.54;14/9/2011;
4.57;16/9/2011;
4.61;20/9/2011;
4.62;21/9/2011;
4.62;22/9/2011;
4.68;23/9/2011;
4.6;26/9/2011;
4.65;27/9/2011;
4.68;28/9/2011;
4.69;29/9/2011;
4.67;3/10/2011;
4.65;4/10/2011;
4.63;6/10/2011;
4.53;7/10/2011;
4.53;11/10/2011;
4.57;13/10/2011;
4.74;18/10/2011;
4.76;19/10/2011;
4.75;20/10/2011;
4.72;21/10/2011;
4.72;24/10/2011;
4.86;28/10/2011;
5.06;31/10/2011;
4.84;1/11/2011;
4.66;2/11/2011;
4.73;3/11/2011;
4.75;7/11/2011;
4.71;8/11/2011;
4.8;11/11/2011;
4.78;14/11/2011;
4.58;16/11/2011;
4.61;17/11/2011;
4.39;23/11/2011;
4.61;29/11/2011;
4.59;30/11/2011;
4.67;1/12/2011;
4.65;2/12/2011;
4.72;6/12/2011;
4.61;13/12/2011;
4.66;15/12/2011;
4.67;20/12/2011;
4.68;21/12/2011;
4.61;23/12/2011;
4.64;6/1/2012;
4.67;10/1/2012;
4.69;11/1/2012;
4.65;12/1/2012;
4.72;18/1/2012;
4.73;24/1/2012;
4.61;26/1/2012;
4.65;1/2/2012;
4.73;10/2/2012;
4.82;14/2/2012;
4.77;15/2/2012;
4.78;16/2/2012;
4.78;17/2/2012;
4.74;23/2/2012;
4.78;28/2/2012;
4.8;29/2/2012;
4.85;6/3/2012;
4.87;8/3/2012;
4.86;9/3/2012;
4.89;12/3/2012;
4.92;14/3/2012;
#�VALOR!;19/3/2012;
4.99;20/3/2012;
#�VALOR!;23/3/2012;
5.3;4/4/2012;
5.36;9/4/2012;
5.42;10/4/2012;
5.33;12/4/2012;
5.37;13/4/2012;
5.4;16/4/2012;
5.65;18/4/2012;
5.41;24/4/2012;
5.35;25/4/2012;
5.45;4/5/2012;
5.55;8/5/2012;
5.93;21/5/2012;
6.09;23/5/2012;
5.96;28/5/2012;
6.12;29/5/2012;
6.17;31/5/2012;
6.31;1/6/2012;
6.23;4/6/2012;
6.18;5/6/2012;
6.07;7/6/2012;
6.11;11/6/2012;
6.5;14/6/2012;
6.5;15/6/2012;
6.65;18/6/2012;
6.66;19/6/2012;
6.66;21/6/2012;
6.66;22/6/2012;
6.72;25/6/2012;
6.6;26/6/2012;
6.54;27/6/2012;
6.56;28/6/2012;
6.56;5/7/2012;
6.63;10/7/2012;
6.76;11/7/2012;
6.69;12/7/2012;
7.01;17/7/2012;
6.86;18/7/2012;
6.96;19/7/2012;
6.83;23/7/2012;
6.77;24/7/2012;
6.74;25/7/2012;
6.8;26/7/2012;
6.85;27/7/2012;
6.78;30/7/2012;
6.71;31/7/2012;
6.71;1/8/2012;
6.72;2/8/2012;
6.66;3/8/2012;
6.59;6/8/2012;
6.66;7/8/2012;
6.47;8/8/2012;
6.15;9/8/2012;
6.17;10/8/2012;
6.29;13/8/2012;
6.39;14/8/2012;
6.48;16/8/2012;
6.49;17/8/2012;
6.45;22/8/2012;
6.47;23/8/2012;
6.51;24/8/2012;
6.48;27/8/2012;
6.46;28/8/2012;
6.43;29/8/2012;
6.5;30/8/2012;
6.48;31/8/2012;
6.49;3/9/2012;
6.57;4/9/2012;
6.52;5/9/2012;
6.47;6/9/2012;
6.47;7/9/2012;
6.45;10/9/2012;
6.44;11/9/2012;
6.47;12/9/2012;
6.44;13/9/2012;
6.37;14/9/2012;
6.35;17/9/2012;
6.32;18/9/2012;
6.35;20/9/2012;
6.33;21/9/2012;
6.31;25/9/2012;
6.29;27/9/2012;
6.31;28/9/2012;
6.25;1/10/2012;
6.27;2/10/2012;
6.3;3/10/2012;
6.29;4/10/2012;
6.28;5/10/2012;
6.34;10/10/2012;
6.36;11/10/2012;
6.32;12/10/2012;
6.34;15/10/2012;
6.3;16/10/2012;
6.4;17/10/2012;
6.4;18/10/2012;
6.39;19/10/2012;
6.41;22/10/2012;
6.42;23/10/2012;
6.39;24/10/2012;
6.39;25/10/2012;
6.57;26/10/2012;
6.55;29/10/2012;
6.51;30/10/2012;
6.62;31/10/2012;
6.67;1/11/2012;
6.81;2/11/2012;
6.84;5/11/2012;
6.89;7/11/2012;
6.86;8/11/2012;
6.8;9/11/2012;
6.85;12/11/2012;
7.01;13/11/2012;
7.01;15/11/2012;
6.96;16/11/2012;
6.75;19/11/2012;
6.81;20/11/2012;
6.81;21/11/2012;
6.93;23/11/2012;
6.93;27/11/2012;
6.86;28/11/2012;
6.74;29/11/2012;
6.75;30/11/2012;
6.83;3/12/2012;
6.81;4/12/2012;
6.76;5/12/2012;
6.67;6/12/2012;
6.7;7/12/2012;
6.62;10/12/2012;
6.54;11/12/2012;
6.52;12/12/2012;
6.57;13/12/2012;
6.64;17/12/2012;
6.55;18/12/2012;
6.41;19/12/2012;
6.48;20/12/2012;
6.63;21/12/2012;
6.62;26/12/2012;
6.67;27/12/2012;
6.55;28/12/2012;
6.66;2/1/2013;
6.8;3/1/2013;
6.78;4/1/2013;
6.89;7/1/2013;
7;8/1/2013;
7.02;9/1/2013;
7.09;10/1/2013;
7.18;11/1/2013;
7.15;14/1/2013;
7.2;15/1/2013;
7.29;16/1/2013;
7.29;17/1/2013;
7.33;18/1/2013;
7.35;21/1/2013;
7.48;22/1/2013;
7.46;23/1/2013;
7.52;24/1/2013;
7.59;25/1/2013;
7.68;28/1/2013;
7.61;29/1/2013;
7.71;30/1/2013;
7.8;1/2/2013;
7.83;4/2/2013;
7.73;5/2/2013;
7.71;6/2/2013;
7.77;7/2/2013;
7.7;8/2/2013;
7.78;13/2/2013;
7.67;14/2/2013;
7.73;15/2/2013;
7.68;19/2/2013;
7.74;21/2/2013;
7.78;22/2/2013;
7.82;25/2/2013;
7.8;26/2/2013;
7.82;27/2/2013;
8.02;28/2/2013;
8.02;1/3/2013;
7.98;4/3/2013;
8.01;5/3/2013;
8.02;6/3/2013;
8.18;7/3/2013;
8.24;8/3/2013;
8.28;11/3/2013;
8.32;12/3/2013;
8.38;13/3/2013;
8.47;14/3/2013;
8.42;15/3/2013;
8.3;18/3/2013;
8.33;19/3/2013;
8.47;20/3/2013;
8.45;21/3/2013;
8.14;22/3/2013;
8.29;25/3/2013;
8.38;26/3/2013;
8.42;27/3/2013;
8.4;3/4/2013;
8.3;4/4/2013;
8.47;5/4/2013;
8.38;8/4/2013;
8.39;9/4/2013;
8.42;10/4/2013;
8.58;11/4/2013;
8.62;12/4/2013;
8.79;15/4/2013;
8.98;16/4/2013;
9.02;17/4/2013;
9.03;18/4/2013;
8.99;19/4/2013;
8.95;22/4/2013;
8.91;23/4/2013;
8.84;24/4/2013;
8.95;25/4/2013;
9.13;26/4/2013;
9.16;29/4/2013;
9.18;30/4/2013;
9.24;2/5/2013;
9.38;3/5/2013;
9.46;6/5/2013;
9.46;7/5/2013;
9.51;8/5/2013;
9.22;9/5/2013;
8.98;10/5/2013;
8.74;13/5/2013;
8.55;14/5/2013;
8.95;15/5/2013;
8.99;16/5/2013;
8.89;17/5/2013;
8.82;20/5/2013;
8.62;21/5/2013;
8.47;22/5/2013;
8.58;23/5/2013;
8.44;24/5/2013;
8.49;27/5/2013;
8.33;28/5/2013;
8.38;29/5/2013;
8.45;30/5/2013;
8.46;31/5/2013;
8.46;3/6/2013;
8.3;4/6/2013;
8.35;5/6/2013;
8.34;6/6/2013;
8.35;7/6/2013;
8.24;10/6/2013;
8.25;11/6/2013;
8.15;12/6/2013;
8.05;13/6/2013;
7.96;14/6/2013;
7.92;17/6/2013;
7.79;18/6/2013;
7.89;19/6/2013;
#�VALOR!;24/6/2013;
7.86;25/6/2013;
7.82;26/6/2013;
7.63;27/6/2013;
7.77;28/6/2013;
7.66;1/7/2013;
7.56;2/7/2013;
7.93;3/7/2013;
7.89;4/7/2013;
7.97;5/7/2013;
8.04;8/7/2013;
8.1;10/7/2013;
8.24;11/7/2013;
8.52;12/7/2013;
8.33;15/7/2013;
8.48;16/7/2013;
8.54;17/7/2013;
8.55;18/7/2013;
8.27;19/7/2013;
8.32;22/7/2013;
8.31;23/7/2013;
8.31;24/7/2013;
8.35;25/7/2013;
8.32;26/7/2013;
8.03;29/7/2013;
8.32;30/7/2013;
8.53;31/7/2013;
8.23;1/8/2013;
8.23;2/8/2013;
8.03;5/8/2013;
8.03;6/8/2013;
8.32;7/8/2013;
8.56;8/8/2013;
8.55;9/8/2013;
8.05;12/8/2013;
8.57;13/8/2013;
8.57;14/8/2013;
8.05;15/8/2013;
8.05;16/8/2013;
8.05;20/8/2013;
8.54;21/8/2013;
8.55;22/8/2013;
8.51;23/8/2013;
8.55;26/8/2013;
8.57;27/8/2013;
8.74;28/8/2013;
8.75;29/8/2013;
8.55;30/8/2013;
8.07;2/9/2013;
8.82;3/9/2013;
8.89;4/9/2013;
8.88;5/9/2013;
8.88;6/9/2013;
8.88;9/9/2013;
8.87;10/9/2013;
8.87;11/9/2013;
9;12/9/2013;
9;13/9/2013;
9.05;16/9/2013;
9.03;17/9/2013;
9.03;18/9/2013;
9.27;19/9/2013;
9.27;20/9/2013;
9.22;23/9/2013;
9.25;24/9/2013;
9.22;25/9/2013;
9.01;26/9/2013;
9;27/9/2013;
9;30/9/2013;
8.98;1/10/2013;
9;2/10/2013;
9.05;3/10/2013;
9.05;4/10/2013;
9.01;7/10/2013;
9.05;8/10/2013;
9.05;9/10/2013;
9.05;10/10/2013;
9.01;11/10/2013;
9.01;15/10/2013;
9;16/10/2013;
9;17/10/2013;
9.01;18/10/2013;
9.02;21/10/2013;
9.27;22/10/2013;
9.27;23/10/2013;
9.35;24/10/2013;
9.35;25/10/2013;
9.04;28/10/2013;
9.03;29/10/2013;
9.11;30/10/2013;
9.16;31/10/2013;
9.17;1/11/2013;
9.22;4/11/2013;
9.18;5/11/2013;
9.32;7/11/2013;
9.02;8/11/2013;
9.17;11/11/2013;
9.23;12/11/2013;
9.03;13/11/2013;
9.25;14/11/2013;
9.25;15/11/2013;
9.02;18/11/2013;
9.15;19/11/2013;
9.05;20/11/2013;
8.95;21/11/2013;
8.93;22/11/2013;
8.97;26/11/2013;
8.87;27/11/2013;
8.72;29/11/2013;
8.52;2/12/2013;
8.32;3/12/2013;
8.04;4/12/2013;
8.48;5/12/2013;
8.55;6/12/2013;
8.53;9/12/2013;
8.58;10/12/2013;
8.44;11/12/2013;
8.44;12/12/2013;
8.46;13/12/2013;
8.56;16/12/2013;
8.46;17/12/2013;
8.55;18/12/2013;
8.58;19/12/2013;
8.5;20/12/2013;
8.53;23/12/2013;
8.55;26/12/2013;
8.71;27/12/2013;
8.85;30/12/2013;
8.88;2/1/2014;
8.89;3/1/2014;
8.91;6/1/2014;
9.13;7/1/2014;
9.15;8/1/2014;
9.22;9/1/2014;
9.39;10/1/2014;
9.49;13/1/2014;
9.55;14/1/2014;
9.79;15/1/2014;
9.79;16/1/2014;9.79
10.13;17/1/2014;10.13
10.16;20/1/2014;10.16
9.91;21/1/2014;9.91
10.04;22/1/2014;10.04
10.48;23/1/2014;10.48
11.12;24/1/2014;11.12
10.99;27/1/2014;10.99
10.87;28/1/2014;10.87
10.99;29/1/2014;10.99
11.32;30/1/2014;11.32
11.47;31/1/2014;11.47
12;3/2/2014;
12.65;4/2/2014;
12.43;5/2/2014;
12;6/2/2014;
11.62;7/2/2014;
10.08;10/2/2014;
10.74;11/2/2014;
10.87;12/2/2014;
10.95;13/2/2014;
10.87;14/2/2014;
10.77;18/2/2014;
10.05;19/2/2014;
10.55;20/2/2014;
10.58;21/2/2014;
10.55;24/2/2014;
10.04;25/2/2014;
10.51;26/2/2014;
10.05;27/2/2014;
10.34;28/2/2014;
10.35;5/3/2014;
10.32;6/3/2014;
10.02;7/3/2014;
10.07;10/3/2014;
10.19;11/3/2014;
10.04;12/3/2014;
10.28;13/3/2014;
10.39;14/3/2014;
10.28;17/3/2014;
10.14;18/3/2014;
10.14;19/3/2014;
10.29;20/3/2014;
10.27;21/3/2014;
10.03;25/3/2014;
10.29;26/3/2014;
10.21;27/3/2014;
10.02;28/3/2014;
10;31/3/2014;
10.17;1/4/2014;
10.01;3/4/2014;
9.93;4/4/2014;
9.65;7/4/2014;
9.67;8/4/2014;
9.06;9/4/2014;
9.52;10/4/2014;
9.61;11/4/2014;
9.66;14/4/2014;
9.59;15/4/2014;
9.62;16/4/2014;
9.75;21/4/2014;
9.67;22/4/2014;
9.64;23/4/2014;
9.59;24/4/2014;
9.67;25/4/2014;
9.73;28/4/2014;
10.02;29/4/2014;
10.12;30/4/2014;
9.96;5/5/2014;
9.84;6/5/2014;
9.85;7/5/2014;
9.61;8/5/2014;
9.66;9/5/2014;
9.77;12/5/2014;
9.68;13/5/2014;
9.86;14/5/2014;
10.13;15/5/2014;
10.19;16/5/2014;
10.03;19/5/2014;
10.76;20/5/2014;
10.92;21/5/2014;
10.77;22/5/2014;
10.87;23/5/2014;
10.81;26/5/2014;
10.81;27/5/2014;
11.02;28/5/2014;
11.27;29/5/2014;
11.13;30/5/2014;
10.88;2/6/2014;
10.77;3/6/2014;
10.65;4/6/2014;
10.56;5/6/2014;
10.59;6/6/2014;
10.05;9/6/2014;
10.68;10/6/2014;
10.06;11/6/2014;
10.51;12/6/2014;
10.63;13/6/2014;
10.44;16/6/2014;
10.38;17/6/2014;
10.71;18/6/2014;
10.51;19/6/2014;
10.25;23/6/2014;
10.07;24/6/2014;
10.12;25/6/2014;
10.05;26/6/2014;
10;27/6/2014;
10.28;30/6/2014;
10.11;1/7/2014;
10.12;2/7/2014;
10.09;3/7/2014;
10.01;4/7/2014;
10.02;7/7/2014;
10.01;8/7/2014;
10.08;10/7/2014;
9.93;11/7/2014;
9.88;14/7/2014;
10.12;15/7/2014;
10.13;16/7/2014;
10.11;17/7/2014;
10.08;18/7/2014;
9.98;21/7/2014;
9.96;22/7/2014;
9.91;23/7/2014;
9.93;24/7/2014;
9.81;25/7/2014;
9.08;28/7/2014;
10.07;29/7/2014;
10.26;30/7/2014;
10.12;31/7/2014;
10;1/8/2014;
10.34;4/8/2014;
10.35;5/8/2014;
10.42;6/8/2014;
10.42;7/8/2014;
10.56;8/8/2014;
10.05;11/8/2014;
10.76;12/8/2014;
11.31;13/8/2014;
11.47;14/8/2014;
11.06;15/8/2014;
11.75;19/8/2014;
11.78;20/8/2014;
12.19;21/8/2014;
12.38;22/8/2014;
12.16;25/8/2014;
12.04;26/8/2014;
12.71;27/8/2014;
12.97;28/8/2014;
12.95;29/8/2014;
12.84;2/9/2014;
12.09;3/9/2014;
12.75;4/9/2014;
12.54;5/9/2014;
12.96;8/9/2014;
13.03;9/9/2014;
13.32;10/9/2014;
13.25;11/9/2014;
13.27;12/9/2014;
13.22;15/9/2014;
13.33;16/9/2014;
13.42;17/9/2014;
13.49;18/9/2014;
13.61;19/9/2014;
13.91;22/9/2014;
14.53;23/9/2014;
14.49;24/9/2014;
14.49;25/9/2014;
14.73;26/9/2014;
14.69;29/9/2014;
14.91;30/9/2014;
15.02;1/10/2014;
14.36;2/10/2014;
13.09;3/10/2014;
15;6/10/2014;
14.17;7/10/2014;
14.27;8/10/2014;
13.77;9/10/2014;
13.46;10/10/2014;
13.29;14/10/2014;
13.24;15/10/2014;
13.25;16/10/2014;
13.79;17/10/2014;
13.07;20/10/2014;
14.07;21/10/2014;
13.82;22/10/2014;
13.47;23/10/2014;
13.07;24/10/2014;
13.19;27/10/2014;
13.17;28/10/2014;
12.93;29/10/2014;
13.04;30/10/2014;
13.05;31/10/2014;
13.05;3/11/2014;
13.38;4/11/2014;
13.19;5/11/2014;
12.98;7/11/2014;
12.73;10/11/2014;
12.78;11/11/2014;
12.55;12/11/2014;
12.45;13/11/2014;
12.13;14/11/2014;
12.12;17/11/2014;
12.08;18/11/2014;
11.92;19/11/2014;
11.75;20/11/2014;
11.78;21/11/2014;
11.98;25/11/2014;
11.97;26/11/2014;
11.97;28/11/2014;
12.27;1/12/2014;
11.09;2/12/2014;
11.91;3/12/2014;
11.99;4/12/2014;
12.01;5/12/2014;
11.88;9/12/2014;
11.66;10/12/2014;
11.03;11/12/2014;
11.53;12/12/2014;
11.65;15/12/2014;
11.39;16/12/2014;
11.65;17/12/2014;
11.65;18/12/2014;
11.33;19/12/2014;
11.24;22/12/2014;
11.29;23/12/2014;
11.27;29/12/2014;
11.26;30/12/2014;
11.93;2/1/2015;
12.24;5/1/2015;
11.98;6/1/2015;
12.09;7/1/2015;
12.13;8/1/2015;
12.17;9/1/2015;
12.02;12/1/2015;
12.07;13/1/2015;
12.22;14/1/2015;
12.16;15/1/2015;
12.45;16/1/2015;
12.41;19/1/2015;
12.41;20/1/2015;
12.46;21/1/2015;
12.16;22/1/2015;
12.01;23/1/2015;
12.18;26/1/2015;
12.02;27/1/2015;
12.19;28/1/2015;
12.31;29/1/2015;
12.19;30/1/2015;
12.22;2/2/2015;
12.02;3/2/2015;
12.33;4/2/2015;
12.27;5/2/2015;
12.11;6/2/2015;
12.31;9/2/2015;
12.03;10/2/2015;
12.25;11/2/2015;
12.21;12/2/2015;
12.02;13/2/2015;
12.29;18/2/2015;
12.23;19/2/2015;
12.22;20/2/2015;
11.96;23/2/2015;
11.89;24/2/2015;
11.74;25/2/2015;
11.77;26/2/2015;
11.68;27/2/2015;
11.92;2/3/2015;
11.82;3/3/2015;
11.84;4/3/2015;
11.82;5/3/2015;
11.74;6/3/2015;
11.87;9/3/2015;
11.91;10/3/2015;
11.87;11/3/2015;
11.86;12/3/2015;
11.81;13/3/2015;
11.97;16/3/2015;
12;17/3/2015;
11.91;18/3/2015;
12.04;19/3/2015;
12.07;20/3/2015;
11.97;25/3/2015;
12.01;26/3/2015;
11.75;27/3/2015;
11.09;30/3/2015;
11.97;31/3/2015;
12.13;1/4/2015;
11.99;6/4/2015;
12.13;7/4/2015;
12.13;8/4/2015;
11.85;9/4/2015;
11.95;10/4/2015;
11.93;13/4/2015;
11.86;14/4/2015;
12.15;15/4/2015;
12.14;16/4/2015;
12.14;17/4/2015;
12.11;20/4/2015;
11.98;21/4/2015;
11.69;22/4/2015;
11.88;23/4/2015;
11.95;24/4/2015;
11.97;27/4/2015;
11.08;28/4/2015;
11.78;29/4/2015;
11.94;30/4/2015;
11.93;4/5/2015;
11.88;5/5/2015;
11.77;6/5/2015;
11.09;7/5/2015;
11.92;8/5/2015;
12.01;11/5/2015;
11.96;12/5/2015;
11.96;13/5/2015;
11.97;14/5/2015;
11.94;15/5/2015;
12.05;18/5/2015;
11.99;19/5/2015;
11.83;20/5/2015;
11.83;21/5/2015;
11.08;22/5/2015;
11.84;26/5/2015;
11.07;27/5/2015;
11.69;28/5/2015;
11.71;29/5/2015;
11.68;1/6/2015;
11.66;2/6/2015;
11.72;3/6/2015;
11.67;4/6/2015;
11.61;5/6/2015;
11.65;8/6/2015;
11.64;9/6/2015;
11.75;10/6/2015;
11.07;11/6/2015;
11.74;12/6/2015;
11.96;15/6/2015;
11.86;16/6/2015;
12.07;17/6/2015;
12.02;18/6/2015;
12.43;19/6/2015;
12.37;22/6/2015;
12.47;23/6/2015;
12.36;24/6/2015;
12.48;25/6/2015;
12.68;26/6/2015;
12.86;29/6/2015;
12.87;30/6/2015;
13.14;1/7/2015;
13.38;2/7/2015;
13.19;6/7/2015;
13.26;7/7/2015;
13.28;8/7/2015;
13.35;10/7/2015;
13.34;13/7/2015;
13.27;14/7/2015;
13.35;15/7/2015;
13.29;16/7/2015;
13.26;17/7/2015;
13.34;20/7/2015;
13.72;21/7/2015;
13.58;22/7/2015;
13.33;23/7/2015;
13.34;24/7/2015;
13.14;27/7/2015;
13.14;28/7/2015;
13.25;29/7/2015;
13.24;30/7/2015;
13.28;31/7/2015;
13.31;3/8/2015;
13.45;4/8/2015;
13.04;5/8/2015;
13.34;6/8/2015;
13.33;7/8/2015;
13.37;10/8/2015;
13.35;11/8/2015;
13.41;12/8/2015;
13.43;13/8/2015;
13.43;14/8/2015;
13.44;18/8/2015;
13.43;19/8/2015;
13.42;20/8/2015;
13.46;21/8/2015;
13.52;24/8/2015;
13.51;25/8/2015;
13.08;26/8/2015;
13.74;27/8/2015;
13.98;28/8/2015;
13.89;31/8/2015;
13.91;1/9/2015;
13.97;2/9/2015;
14.08;3/9/2015;
13.95;4/9/2015;
13.95;8/9/2015;
14.07;9/9/2015;
14.04;10/9/2015;
14.09;11/9/2015;
14.01;14/9/2015;
14.13;15/9/2015;
14.12;16/9/2015;
14.13;17/9/2015;
14.13;18/9/2015;
14.17;21/9/2015;
14.15;22/9/2015;
13.02;23/9/2015;
13.03;24/9/2015;
13.34;25/9/2015;
13.83;28/9/2015;
13.87;29/9/2015;
13.94;30/9/2015;
13.93;1/10/2015;
13.07;2/10/2015;
13.09;5/10/2015;
14.02;6/10/2015;
13.99;7/10/2015;
13.94;8/10/2015;
13.87;9/10/2015;
13.95;13/10/2015;
13.85;14/10/2015;
13.67;15/10/2015;
13.08;16/10/2015;
13.97;19/10/2015;
14.05;20/10/2015;
13.94;21/10/2015;
14.04;22/10/2015;
14.11;23/10/2015;
14.12;26/10/2015;
14.04;27/10/2015;
13.57;28/10/2015;
13.07;29/10/2015;
13.66;30/10/2015;
13.69;2/11/2015;
13.74;3/11/2015;
13.77;4/11/2015;
13.74;5/11/2015;
13.86;9/11/2015;
14.29;10/11/2015;
14.37;11/11/2015;
14.25;12/11/2015;
14.37;13/11/2015;
14.46;16/11/2015;
14.77;17/11/2015;
14.92;18/11/2015;
14.86;19/11/2015;
14.89;20/11/2015;
14.86;23/11/2015;
14.06;24/11/2015;
14.04;25/11/2015;
14.51;30/11/2015;
14.47;1/12/2015;
14.68;2/12/2015;
14.73;3/12/2015;
14.79;4/12/2015;
15.13;9/12/2015;
15.17;10/12/2015;
15.35;11/12/2015;
15.13;14/12/2015;
14.88;15/12/2015;
14.53;16/12/2015;
14.26;17/12/2015;
14.02;18/12/2015;
13.93;21/12/2015;
13.74;22/12/2015;
13.09;23/12/2015;
14.33;28/12/2015;
14.34;29/12/2015;
14.14;30/12/2015;
13.69;4/1/2016;
13.66;5/1/2016;
14.02;6/1/2016;
14.16;7/1/2016;
14.54;8/1/2016;
14.47;11/1/2016;
14.19;12/1/2016;
13.97;13/1/2016;
13.83;14/1/2016;
13.71;15/1/2016;
13.78;19/1/2016;
13.09;20/1/2016;
13.86;21/1/2016;
13.74;22/1/2016;
14.14;25/1/2016;
14.02;26/1/2016;
14;27/1/2016;
14;28/1/2016;
13.98;29/1/2016;
14.24;1/2/2016;
14.04;2/2/2016;
14.33;3/2/2016;
14.41;4/2/2016;
14.51;5/2/2016;
14.63;10/2/2016;
14.85;11/2/2016;
14.95;12/2/2016;
15.18;16/2/2016;
15.35;17/2/2016;
15.36;18/2/2016;
15.28;19/2/2016;
15.02;22/2/2016;
15.32;23/2/2016;
15.52;24/2/2016;
15.54;25/2/2016;
15.45;26/2/2016;
15.57;29/2/2016;
15.09;1/3/2016;
16.03;2/3/2016;
15.76;3/3/2016;
15.49;4/3/2016;
15.46;7/3/2016;
15.48;8/3/2016;
15.41;9/3/2016;
15.35;10/3/2016;
15.34;11/3/2016;
14.95;14/3/2016;
14.81;15/3/2016;
14.64;16/3/2016;
14.72;17/3/2016;
14.88;18/3/2016;
14.76;21/3/2016;
14.56;22/3/2016;
14.46;23/3/2016;
14.05;28/3/2016;
14.74;29/3/2016;
14.75;30/3/2016;
14.79;31/3/2016;
14.82;1/4/2016;
14.86;4/4/2016;
14.86;5/4/2016;
14.79;6/4/2016;
14.75;7/4/2016;
14.61;8/4/2016;
14.56;11/4/2016;
14.61;12/4/2016;
14.52;13/4/2016;
14.27;14/4/2016;
14.51;15/4/2016;
14.29;18/4/2016;
14.24;19/4/2016;
14.41;20/4/2016;
14.39;21/4/2016;
14.51;22/4/2016;
14.47;25/4/2016;
14.42;26/4/2016;
14.37;27/4/2016;
14.25;28/4/2016;
14.26;29/4/2016;
14.34;2/5/2016;
14.24;3/5/2016;
14.26;4/5/2016;
13.96;5/5/2016;
14.19;6/5/2016;
14.16;9/5/2016;
14.23;10/5/2016;
14.23;11/5/2016;
14.15;12/5/2016;
14.15;13/5/2016;
14.17;16/5/2016;
14.17;17/5/2016;
14.01;18/5/2016;
14.03;19/5/2016;
14.01;20/5/2016;
14.05;23/5/2016;
13.97;24/5/2016;
14.07;26/5/2016;
14.05;27/5/2016;
14.05;31/5/2016;
14.14;1/6/2016;
14.01;2/6/2016;
14.03;3/6/2016;
13.98;6/6/2016;
13.93;7/6/2016;
13.98;8/6/2016;
13.91;9/6/2016;
13.88;10/6/2016;
13.88;13/6/2016;
13.91;14/6/2016;
13.92;15/6/2016;
13.87;16/6/2016;
14.03;21/6/2016;
14.11;22/6/2016;
14.28;23/6/2016;
14.06;24/6/2016;
14.97;27/6/2016;
15.04;28/6/2016;
15.14;29/6/2016;
15.02;30/6/2016;
15.32;1/7/2016;
15.22;5/7/2016;
14.98;6/7/2016;
14.95;7/7/2016;
14.89;11/7/2016;
14.79;12/7/2016;
14.68;13/7/2016;
14.72;14/7/2016;
14.83;15/7/2016;
15.03;18/7/2016;
15.27;19/7/2016;
15.17;20/7/2016;
15.18;21/7/2016;
15.16;22/7/2016;
