date,Infla_Diaria,Factor_Actualizacion,DOLAR CCL,usd_real,usd_real_avg
2015-10-26,1.0003529635685455,58.76315520663195,14.12,829.7357447927337,953.6964713986799
2015-10-27,1.0003529635685455,58.74242127199478,14.04,824.7435924179612,953.6964713986799
2015-10-28,1.0003529635685455,58.72169465309898,13.57,796.8533785221141,953.6964713986799
2015-10-29,1.0003529635685455,58.70097534736327,13.07,767.2217298759219,953.6964713986799
2015-10-30,1.0003529635685455,58.68026335220728,13.66,801.5723884372538,953.6964713986799
2015-11-02,1.000660305482287,58.6001672716052,13.69,802.2362653586664,953.6964713986799
2015-11-03,1.000660305482287,58.561498792901325,13.74,804.6349800108009,953.6964713986799
2015-11-04,1.000660305482287,58.52285583035746,13.77,805.8597515736595,953.6964713986799
2015-11-05,1.000660305482287,58.484238367136285,13.74,803.5734217784727,953.6964713986799
2015-11-09,1.000660305482287,58.33002317112019,13.86,808.4541011257016,953.6964713986799
2015-11-10,1.000660305482287,58.29153295234087,14.29,832.9860036653056,953.6964713986799
2015-11-11,1.000660305482287,58.253068132093226,14.37,837.096582391645,953.6964713986799
2015-11-12,1.000660305482287,58.21462869361755,14.25,829.5584588840501,953.6964713986799
2015-11-13,1.000660305482287,58.17621462016517,14.37,835.9921974340341,953.6964713986799
2015-11-16,1.000660305482287,58.0611244226269,14.46,839.563861366041,953.6964713986799
2015-11-17,1.000660305482287,58.022811642002,14.77,856.9969545131048,953.6964713986799
2015-11-18,1.000660305482287,57.98452414282272,14.92,865.1291046347831,953.6964713986799
2015-11-19,1.000660305482287,57.946261908406576,14.86,861.0814320646515,953.6964713986799
2015-11-20,1.000660305482287,57.90802492208213,14.89,862.2505109709455,953.6964713986799
2015-11-23,1.000660305482287,57.793465285109406,14.86,858.8108742949141,953.6964713986799
2015-11-24,1.000660305482287,57.75532912465712,14.06,812.0399517277797,953.6964713986799
2015-11-25,1.000660305482287,57.71721812910414,14.04,810.349740330885,953.6964713986799
2015-11-30,1.000660305482287,57.5270400440176,14.51,834.71736420559,953.6964713986799
2015-12-01,1.001234913882754,57.489079689527,14.47,831.8669984586962,953.6964713986799
2015-12-02,1.001234913882754,57.41817319033189,14.68,842.898799956708,953.6964713986799
2015-12-03,1.001234913882754,57.34735414655711,14.73,844.7265003272508,953.6964713986799
2015-12-04,1.001234913882754,57.276622450335935,14.79,847.1212438555388,953.6964713986799
2015-12-09,1.001234913882754,56.92427041650329,15.13,861.2642179161605,953.6964713986799
2015-12-10,1.001234913882754,56.85406054784183,15.17,862.4761028483812,953.6964713986799
2015-12-11,1.001234913882754,56.78393727538304,15.35,871.6334588384826,953.6964713986799
2015-12-14,1.001234913882754,56.57408596781159,15.13,855.9659271673797,953.6964713986799
2015-12-15,1.001234913882754,56.50430801341043,14.88,840.7841097059521,953.6964713986799
2015-12-16,1.001234913882754,56.43461612249288,14.53,819.9949571901533,953.6964713986799
2015-12-17,1.001234913882754,56.36501018890903,14.26,803.7650581947698,953.6964713986799
2015-12-18,1.001234913882754,56.29549010663991,14.02,789.2627970651218,953.6964713986799
2015-12-21,1.001234913882754,56.08744390949156,13.93,781.298110775747,953.6964713986799
2015-12-22,1.001234913882754,56.01826617490437,13.74,769.6909644216224,953.6964713986799
2015-12-23,1.001234913882754,55.94917376349522,13.09,732.3746931013188,953.6964713986799
2015-12-28,1.001234913882754,55.604987875371016,14.33,796.8194720117427,953.6964713986799
2015-12-29,1.001234913882754,55.53640519759426,14.34,796.3920590076847,953.6964713986799
2015-12-30,1.001234913882754,55.46790710905798,14.14,784.3162255654745,953.6964713986799
2016-01-04,1.0012970271754824,55.11642350127049,13.69,754.5438146046213,953.6964713986799
2016-01-05,1.0012970271754824,55.04502860329681,13.66,751.9150823218296,953.6964713986799
2016-01-06,1.0012970271754824,54.97372618649539,14.02,770.7316662996401,953.6964713986799
2016-01-07,1.0012970271754824,54.90251613107103,14.16,777.4196200385067,953.6964713986799
2016-01-08,1.0012970271754824,54.83139831738369,14.54,797.2485294431069,953.6964713986799
2016-01-11,1.0012970271754824,54.61859713266676,14.47,790.3311150944269,953.6964713986799
